Abandon Hope | Dryad Arbor | Force of Despair
Karakas | Leyline of Singularity | Student of Warfare
Karakas | Leyline of Singularity | Tethered Griffin
Karakas | Leyline of Singularity | The Rack
Karakas | Lion's Eye Diamond | Shadowgrange Archfiend
Karakas | Luminarch Aspirant | Mox Pearl
Karakas | Mana Tithe | Memnite
Karakas | Mana Tithe | Path to Exile
Karakas | Mana Tithe | Solitude
Karakas | Mana Tithe | Student of Warfare
Karakas | Meddling Mage | Mox Sapphire
Karakas | Mishra's Factory | Mishra's Factory
Karakas | Mishra's Factory | Porphyry Nodes
Karakas | Mox Pearl | Phelia, Exuberant Shepherd
Karakas | Mox Pearl | Skrelv's Hive
Karakas | Mox Pearl | Thalia, Guardian of Thraben
Karakas | Mox Pearl | White Orchid Phantom
Karakas | Mox Ruby | Yidaro, Wandering Monster
Karakas | Mutavault | Swift Reconfiguration
Karakas | Ocelot Pride | Ocelot Pride
Karakas | Ocelot Pride | Path to Exile
Karakas | Ocelot Pride | Sheltered Valley
Karakas | Righteousness | Speaker of the Heavens
Karakas | Rise and Shine | Tanglepool Bridge
Karakas | Rishadan Port | Swooping Lookout
Karakas | Rograkh, Son of Rohgahh | Yoshimaru, Ever Faithful
Karakas | Simian Spirit Guide | Thalia, Guardian of Thraben
Kaya's Ghostform | Sleep-Cursed Faerie | Underground Sea
Kefnet's Last Word | Living Conundrum | Sand Silos
Keldon Halberdier | Keldon Halberdier | Mountain
Keldon Megaliths | Keldon Megaliths | Keldon Megaliths
Keldon Megaliths | Pithing Needle | Sunken Citadel
Keldon Megaliths | Sunken Citadel | The Tabernacle at Pendrell Vale
Kessig Forgemaster | Mask of Immolation | Sandstone Needle
Khalni Garden | Mistbreath Elder | Sunshower Druid
Knight of the Holy Nimbus | Remote Farm | Soul Partition
Kor Haven | Skrelv's Hive | Sunken Citadel
Kozilek, Butcher of Truth | Saprazzan Cove | Show and Tell
Kuldotha Rebirth | Leyline of the Meek | Mox Ruby
Kulrath Knight | Reanimate | Subterranean Hangar
Lair of the Hydra | Llanowar Mentor | Ulamog, the Infinite Gyre
Lair of the Hydra | Llanowar Mentor | Vigor
Lair of the Hydra | Pick Your Poison | Saltcrusted Steppe
Lake of the Dead | Leveler | Swamp
Lavinia, Azorius Renegade | Mox Pearl | Tundra
Legacy's Allure | Lighthouse Chronologist | Saprazzan Cove
Legacy's Allure | Saprazzan Skerry | Star Whale
Legacy's Allure | Saprazzan Skerry | Tide Shaper
Legacy's Allure | Saprazzan Skerry | Warkite Marauder
Legacy's Allure | Saprazzan Skerry | Watcher of Hours
Legion's End | Peat Bog | Steel Overseer
Legion's Landing | Mistveil Plains | Ocelot Pride
Legolas's Quick Reflexes | Rushwood Grove | Tempting Wurm
Leonin Relic-Warder | Remote Farm | Skrelv's Hive
Leyline Binding | Leyline of the Guildpact | Maze of Ith
Leyline of Anticipation | Lightning Bolt | Mountain
Leyline of Lifeforce | Llanowar Reborn | Scythe Tiger
Leyline of Sanctity | Lion's Eye Diamond | Shadowgrange Archfiend
Leyline of Sanctity | Living Conundrum | Saprazzan Cove
Leyline of Sanctity | Memnite | Solitude
Leyline of Sanctity | Remote Farm | Skrelv's Hive
Leyline of Transformation | Rushwood Grove | Turntimber Ranger
Life of Toshiro Umezawa | Mire in Misery | Peat Bog
Lightning Bolt | Mercadian Bazaar | Squee, the Immortal
Lightning Bolt | Mountain | Ragavan, Nimble Pilferer
Lightning Bolt | Mountain | Soul-Scar Mage
Lightning Bolt | Reinforced Ronin | Snow-Covered Mountain
Liliana, The Last Hope | Subterranean Hangar | Vadmir, New Blood
Lion's Eye Diamond | Memnite | Shadowgrange Archfiend
Lion's Eye Diamond | Mental Misstep | Shadowgrange Archfiend
Lion's Eye Diamond | Necrogoyf | Shadowgrange Archfiend
Lion's Eye Diamond | Necrogoyf | Vengeful Pharaoh
Lion's Eye Diamond | Shelldock Isle | Ulamog, the Infinite Gyre
Living Conundrum | Mana Vault | Saprazzan Skerry
Living Conundrum | Maze of Ith | Sand Silos
Living Conundrum | Mental Misstep | Sand Silos
Living Conundrum | Sand Silos | Saprazzan Cove
Llanowar Mentor | Pendelhaven | Ulamog, the Infinite Gyre
Llanowar Mentor | Pendelhaven | Vigor
Llanowar Mentor | Pick Your Poison | Undiscovered Paradise
Llanowar Reborn | Llanowar Reborn | Scythe Tiger
Llanowar Reborn | Mental Misstep | Scythe Tiger
Lodestone Golem | Mishra's Workshop | Sol Ring
Lodestone Golem | Planar Nexus | Urza's Tower
Lord of Atlantis | Saprazzan Skerry | Tide Shaper
Lore Broker | Saprazzan Skerry | Tide Shaper
Lotus Bloom | Lotus Bloom | Loxodon Smiter
Lotus Bloom | Lotus Bloom | Primordial Hydra
Lotus Bloom | Lotus Bloom | Valkyrie Harbinger
Lotus Bloom | Lotus Bloom | Vraska, Relic Seeker
Lotus Bloom | Magus of the Moon | Mental Misstep
Lotus Bloom | Mental Misstep | Plague Engineer
Lotus Bloom | Mental Misstep | True-Name Nemesis
Lotus Bloom | Nicol Bolas, Dragon-God | Sulfur Vent
Lotus Bloom | Overlord of the Hauntwoods | Pick Your Poison
Lotus Petal | Plains | Skrelv's Hive
Loxodon Smiter | Selesnya Sanctuary | Treetop Village
Luminarch Aspirant | Luminarch Aspirant | Remote Farm
Luminarch Aspirant | Mox Pearl | Rishadan Port
Luminarch Aspirant | Ornithopter | Remote Farm
Luminarch Aspirant | Phelia, Exuberant Shepherd | Remote Farm
Lupine Prototype | Lupine Prototype | Mishra's Workshop
Lupine Prototype | Mana Crypt | Phyrexian Revoker
Lupine Prototype | Mishra's Workshop | Phyrexian Metamorph
Lupine Prototype | Mishra's Workshop | Pithing Needle
Lupine Prototype | Mishra's Workshop | The Rack
Lupine Prototype | Mishra's Workshop | Trinisphere
Lupine Prototype | Mishra's Workshop | Wheel of Torture
Lurrus of the Dream-Den | Subterranean Hangar | Vampire of the Dire Moon
Magda, the Hoardmaster | Mox Ruby | Rishadan Port
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens
Mana Crypt | Scroll of Griselbrand | Urza's Saga
Mana Tithe | Memnite | Plains
Mana Tithe | Mox Pearl | Restore Balance
Mana Tithe | Plains | Speaker of the Heavens
Mana Vault | Mox Jet | Rottenmouth Viper
Mayor of Avabruck | Mox Emerald | Mutavault
Mayor of Avabruck | Mox Emerald | Volatile Fault
Mayor of Avabruck | Mox Emerald | Wasteland
Memnite | Memnite | Memnite
Memnite | Mental Misstep | Subtlety
Memnite | Mountain | Raze
Memnite | Snow-Covered Swamp | Specter's Shriek
Mental Misstep | Pendelhaven | Vault Skirge
Mercadian Bazaar | Red Sun's Zenith | Wild Magic Surge
Mercadian Bazaar | Shivan Devastator | Subterranean Tremors
Mercadian Bazaar | Squee, the Immortal | Tibalt's Trickery
Mesmeric Fiend | Mishra's Factory | Mox Jet
Mesmeric Fiend | Mox Jet | Rishadan Port
Mesmeric Fiend | Mox Jet | Urza's Factory
Miasmic Mummy | Mox Jet | Rishadan Port
Mikaeus, the Lunarch | Remote Farm | Swift Reconfiguration
Mind Rake | Mishra's Factory | Mox Jet
Mind Swords | Mishra's Factory | Mox Jet
Mindlash Sliver | Subterranean Hangar | Tithing Blade
Mindleech Ghoul | Mox Jet | Unholy Grotto
Misdirection | Misthollow Griffin | Sand Silos
Misdirection | Misthollow Griffin | Saprazzan Cove
Mishra's Factory | Mishra's Factory | Mishra's Factory
Mishra's Factory | Mishra's Factory | Strip Mine
Mishra's Factory | Molten Slagheap | Ob Nixilis, the Adversary
Mishra's Factory | Mox Emerald | Outland Liberator
Mishra's Factory | Mox Emerald | The Foretold Soldier
Mishra's Factory | Mox Jet | Nezumi Graverobber
Mishra's Factory | Mox Jet | Nezumi Shortfang
Mishra's Factory | Mox Jet | Sphere of Resistance
Mishra's Factory | Mox Jet | Thoughtseize
Mishra's Factory | Mox Pearl | Overencumbered
Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd
Mishra's Factory | Mox Pearl | Prairie Dog
Mishra's Factory | Mox Pearl | Skrelv's Hive
Mishra's Factory | Mox Pearl | Soul Partition
Mishra's Factory | Mox Pearl | Swords to Plowshares
Mishra's Factory | Mox Ruby | Sphere of Resistance
Mishra's Factory | Mox Sapphire | Tide Shaper
Mishra's Factory | Mox Sapphire | Volatile Stormdrake
Mishra's Factory | Rishadan Port | Sunken Citadel
Mishra's Factory | Rishadan Port | The Tabernacle at Pendrell Vale
Mishra's Factory | Sheltered Valley | Thespian's Stage
Mishra's Factory | Sol Ring | Sphere of Resistance
Mishra's Factory | Springheart Nantuko | Undiscovered Paradise
Mishra's Factory | Swamp | Thoughtseize
Mishra's Factory | The Rack | Wasteland
Mishra's Workshop | Phyrexian Dreadnought | Torpor Orb
Mishra's Workshop | Phyrexian Revoker | The Rack
Mishra's Workshop | Phyrexian Revoker | Wheel of Torture
Mishra's Workshop | The Rack | The Rack
Misthollow Griffin | Saprazzan Cove | Subtlety
Mockingbird | Mockingbird | Mockingbird
Mockingbird | Ocelot Pride | Tundra
Mockingbird | Ocelot Pride | Undiscovered Paradise
Mother of Runes | Ocelot Pride | Plains
Mother of Runes | Secluded Courtyard | Stormscape Apprentice
Mountain | Mox Ruby | Yidaro, Wandering Monster
Mountain | Nether Spirit | Sonic Seizure
Mountain | Raze | Wayward Guide-Beast
Mountain | Seal of Fire | Tel-Jilad Stylus
Mountain | Storm World | Wayward Guide-Beast
Mox Emerald | Outland Liberator | Rishadan Port
Mox Emerald | Outland Liberator | Volatile Fault
Mox Emerald | Outland Liberator | Wasteland
Mox Emerald | Swarm Shambler | Volatile Fault
Mox Jet | Mox Jet | Rishadan Port
Mox Jet | Mox Ruby | Oni-Cult Anvil
Mox Jet | Mutavault | Nezumi Shortfang
Mox Jet | Nezumi Shortfang | Rishadan Port
Mox Jet | Nezumi Shortfang | Wasteland
Mox Jet | Refurbished Familiar | Vault of Whispers
Mox Jet | Valki, God of Lies | Wasteland
Mox Pearl | Mutavault | Patrol Signaler
Mox Pearl | Mutavault | Phelia, Exuberant Shepherd
Mox Pearl | Mutavault | Skrelv's Hive
Mox Pearl | Mutavault | War Priest of Thune
Mox Pearl | Nurturing Pixie | Nurturing Pixie
Mox Pearl | Phelia, Exuberant Shepherd | Rishadan Port
Mox Pearl | Plains | Precinct Captain
Mox Pearl | Plains | Skrelv's Hive
Mox Pearl | Portable Hole | Warden of the Inner Sky
Mox Pearl | Prairie Dog | Rishadan Port
Mox Pearl | Rishadan Port | Skrelv's Hive
Mox Pearl | Rishadan Port | Thalia, Guardian of Thraben
Mox Pearl | Skrelv's Hive | The Seedcore
Mox Pearl | Skrelv's Hive | Wasteland
Mox Pearl | Thalia, Guardian of Thraben | Volatile Fault
Mox Pearl | Thalia, Guardian of Thraben | Wasteland
Mox Ruby | Mutavault | Roiling Vortex
Mox Sapphire | Rishadan Port | Sleep-Cursed Faerie
Mox Sapphire | Rishadan Port | Volatile Stormdrake
Mu Yanling, Sky Dancer | Oboro, Palace in the Clouds | Sol Ring
Mu Yanling, Sky Dancer | Quicksand | Saprazzan Skerry
Murderous Rider | Paralyze | Subterranean Hangar
Murderous Rider | Subterranean Hangar | The Tabernacle at Pendrell Vale
Mutavault | Plains | Skrelv's Hive
Mutavault | Retrofitter Foundry | Sol Ring
Mutavault | Rishadan Port | The Tabernacle at Pendrell Vale
Myr Servitor | Myr Servitor | Sheltered Valley
Nature's Claim | Predator Ooze | Rushwood Grove
Necrotic Ooze | Swamp | Thoughtseize
Nested Shambler | Tendrils of Despair | Urborg
Nether Spirit | Peat Bog | Smallpox
Nether Spirit | Simian Spirit Guide | Sonic Seizure
Nix | Ocelot Pride | Tundra
Nullhide Ferox | Obstinate Baloth | Rushwood Grove
Nullhide Ferox | Pick Your Poison | Rushwood Grove
O-Naginata | Reckless Waif | Sandstone Needle
Oboro, Palace in the Clouds | Piracy Charm | The Rack
Oboro, Palace in the Clouds | Scute Swarm | Simic Growth Chamber
Obstinate Baloth | Obstinate Baloth | Obstinate Baloth
Ocelot Pride | Ocelot Pride | Plains
Ocelot Pride | Path to Exile | Plains
Ocelot Pride | Plains | Porphyry Nodes
Ocelot Pride | Plains | Portable Hole
Ocelot Pride | Plains | Sheltered Valley
Ocelot Pride | Plateau | Taste for Mayhem
Ocelot Pride | Scrubland | Snuff Out
Ocelot Pride | Scrubland | Thoughtseize
Ocelot Pride | Storm World | Undiscovered Paradise
Okiba Reckoner Raid | Swamp | Thoughtseize
Oko, Thief of Crowns | Simic Growth Chamber | Treetop Village
On Thin Ice | Rimebound Dead | Snowfield Sinkhole
On Thin Ice | Snow-Covered Plains | Student of Warfare
Oona's Gatewarden | Unable to Scream | Underground Sea
Orcish Bowmasters | Peat Bog | Sheoldred's Edict
Orcish Lumberjack | Sunder Shaman | Taiga
Ornithopter | Retrofitter Foundry | Tolarian Academy
Outland Liberator | The Tabernacle at Pendrell Vale | Yavimaya, Cradle of Growth
Overencumbered | Phelia, Exuberant Shepherd | Remote Farm
Pardic Dragon | Sandstone Needle | Wild Magic Surge
Path to Exile | Plains | Student of Warfare
Path to Exile | Prairie Dog | Remote Farm
Path to Exile | Remote Farm | Skrelv's Hive
Path to Exile | Remote Farm | Thalia, Guardian of Thraben
Peat Bog | Putrid Goblin | Smallpox
Peat Bog | Reassembling Skeleton | Sheoldred's Edict
Peat Bog | Rograkh, Son of Rohgahh | Vorpal Sword
Peat Bog | Smallpox | Tribute to Horobi
Peat Bog | Sorin of House Markov | Vicious Rumors
Phage the Untouchable | Subterranean Hangar | Sudden Edict
Phelia, Exuberant Shepherd | Portable Hole | Remote Farm
Phelia, Exuberant Shepherd | Prairie Dog | Remote Farm
Phelia, Exuberant Shepherd | Remote Farm | Resolute Reinforcements
Phelia, Exuberant Shepherd | Remote Farm | Samwise the Stouthearted
Phelia, Exuberant Shepherd | Remote Farm | Senu, Keen-Eyed Protector
Phelia, Exuberant Shepherd | Remote Farm | Tax Collector
Phelia, Exuberant Shepherd | Remote Farm | Unwanted Remake
Phelia, Exuberant Shepherd | Remote Farm | White Orchid Phantom
Phelia, Exuberant Shepherd | Ruins of Trokair | Tax Collector
Phyrexian Dreadnought | Sand Silos | Stifle
Phyrexian Dreadnought | Saprazzan Skerry | Stifle
Phyrexian Dreadnought | Stifle | Svyelunite Temple
Phyrexian Processor | Planar Nexus | Urza's Tower
Pick Your Poison | Sleep-Cursed Faerie | Tropical Island
Piracy Charm | Swarm Shambler | Tropical Island
Pithing Needle | Plains | Student of Warfare
Pithing Needle | Retrofitter Foundry | Tolarian Academy
Plains | Porphyry Nodes | Restore Balance
Plains | Savannah Lions | Unwanted Remake
Plains | Student of Warfare | Unwanted Remake
Planar Nexus | Urza's Tower | Walking Ballista
Platinum Angel | Sand Silos | Sand Silos
Platinum Emperion | Sand Silos | Show and Tell
Portable Hole | Prairie Dog | Remote Farm
Portable Hole | Remote Farm | Skrelv's Hive
Portable Hole | Remote Farm | Thalia, Guardian of Thraben
Portable Hole | Restore Balance | Undiscovered Paradise
Prairie Dog | Prairie Dog | Remote Farm
Prairie Dog | Remote Farm | Skrelv's Hive
Prairie Dog | Remote Farm | Soul Partition
Prairie Dog | Remote Farm | Swarmyard
Prairie Dog | Remote Farm | White Orchid Phantom
Pyroblast | Serene Remembrance | Taiga
Radiant Solar | Reanimate | Scrubland
Raging Ravine | Sunken Citadel | Sunken Citadel
Raze | Sleep-Cursed Faerie | Volcanic Island
Razortide Bridge | Sleep-Cursed Faerie | Unwanted Remake
Reality Shift | Sand Silos | Sphinx of the Final Word
Reality Shift | Saprazzan Skerry | Tide Shaper
Reality Shift | Saprazzan Skerry | Watcher of Hours
Reanimate | Striped Riverwinder | Underground Sea
Reanimate | Swamp | Troll of Khazad-dûm
Reassembling Skeleton | Shrieking Affliction | Subterranean Hangar
Reassembling Skeleton | Subterranean Hangar | Sudden Edict
Reconnaissance | Restless Anchorage | Wind Zendikon
Reinforced Ronin | Slagwoods Bridge | Teething Wurmlet
Reinforced Ronin | Storm World | Undiscovered Paradise
Reluctant Role Model | Remote Farm | Unwanted Remake
Remote Farm | Remote Farm | The Wandering Emperor
Remote Farm | Sheltered by Ghosts | Voice of the Blessed
Remote Farm | Shire Shirriff | Sunder the Gateway
Remote Farm | Skrelv's Hive | Skrelv's Hive
Remote Farm | Skrelv's Hive | Soul Partition
Remote Farm | Skrelv's Hive | Steel Overseer
Remote Farm | Skrelv's Hive | White Orchid Phantom
Remote Farm | Soul Partition | White Orchid Phantom
Remote Farm | Steel Overseer | Steel Overseer
Remote Farm | Westfold Rider | White Orchid Phantom
Restore Balance | Shivan Sand-Mage | Undiscovered Paradise
Restore Balance | Skrelv's Hive | Undiscovered Paradise
Retrofitter Foundry | The Mycosynth Gardens | Tolarian Academy
Riftwing Cloudskate | Saprazzan Skerry | Star Whale
Riftwing Cloudskate | Saprazzan Skerry | Watcher of Hours
Rimrock Knight | Roc Hunter | Sandstone Needle
River of Tears | Sleep-Cursed Faerie | Thoughtseize
Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude
Ruins Recluse | Rushwood Grove | Swarmyard
Rushwood Grove | Scythe Tiger | Serene Remembrance
Rushwood Grove | Tamiyo's Safekeeping | Tender Wildguide
Rushwood Grove | Thrun, the Last Troll | Wasteland
Sanctum of Stone Fangs | The Tabernacle at Pendrell Vale | Urborg, Tomb of Yawgmoth
Sand Silos | Saprazzan Cove | Trench Behemoth
Sand Silos | Surge Engine | Welding Jar
Sand Silos | Ulamog, the Infinite Gyre | Web of Inertia
Sandstone Needle | Shattering Spree | Vexing Shusher
Sandstone Needle | Steel Overseer | Wild Magic Surge
Sandstone Needle | Wild Magic Surge | Wild Magic Surge
Saprazzan Cove | Walking Ballista | Web of Inertia
Saprazzan Skerry | Silent Hallcreeper | Silent Hallcreeper
Saprazzan Skerry | Spellstutter Sprite | Unsubstantiate
Saprazzan Skerry | Star Whale | Time Beetle
Saprazzan Skerry | Tide Shaper | Tide Shaper
Saprazzan Skerry | Unsubstantiate | Volatile Stormdrake
Sarcomancy | Soured Springs | Tel-Jilad Stylus
Sarcomancy | Swamp | Tel-Jilad Stylus
Sarcomancy | Tel-Jilad Stylus | Urborg
Scrubland | Swooping Lookout | Thoughtseize
Scythe Tiger | Thoughtseize | Undiscovered Paradise
Secluded Courtyard | Sleep-Cursed Faerie | Stormscape Apprentice
Shrieking Affliction | Swarm Shambler | Undiscovered Paradise
Sleep-Cursed Faerie | Thoughtseize | Underground Sea
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise
Sleep-Cursed Faerie | Tundra | Unwanted Remake
Sleep-Cursed Faerie | Undiscovered Paradise | Unwanted Remake
Smallpox | The Tabernacle at Pendrell Vale | Urborg, Tomb of Yawgmoth
Snow-Covered Mountain | Taste for Mayhem | Vault Skirge
Snuff Out | Swamp | Valentin, Dean of the Vein
Sol Ring | Tel-Jilad Stylus | Urza's Saga
Strip Mine | The Rack | The Tabernacle at Pendrell Vale
Sunken Citadel | Sunken Citadel | Tomb of Urami
The Tabernacle at Pendrell Vale | Treetop Village | Yavimaya, Cradle of Growth
